# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions
# and other software and tools, and its AMPP partner logic
# functions, and any output files from any of the foregoing
# (including device programming or simulation files), and any
# associated documentation or information are expressly subject
# to the terms and conditions of the Altera Program License
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other
# applicable license agreement, including, without limitation,
# that your use is for the sole purpose of programming logic
# devices manufactured by Altera and sold by Altera or its
# authorized distributors.  Please refer to the applicable
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 139 03/11/2015 Patches 0.02zb SJ Full Version
# File: C:\Development\DECA\Gesture_Sensor\Gesture_Lab\DECA_golden_top.csv
# Generated on: Tue Apr 14 13:39:34 2015

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ADC_CLK_10,Input,PIN_M9,2,B2_N0,PIN_M9,2.5 V,,,,,
AUDIO_BCLK,Bidir,PIN_R14,5,B5_N0,PIN_R14,1.5 V,,,,,
AUDIO_DIN_MFP1,Output,PIN_P15,5,B5_N0,PIN_P15,1.5 V,,,,,
AUDIO_DOUT_MFP2,Input,PIN_P18,5,B5_N0,PIN_P18,1.5 V,,,,,
AUDIO_GPIO_MFP5,Bidir,PIN_M22,5,B5_N0,PIN_M22,1.5 V,,,,,
AUDIO_MCLK,Output,PIN_P14,5,B5_N0,PIN_P14,1.5 V,,,,,
AUDIO_MISO_MFP4,Input,PIN_N21,5,B5_N0,PIN_N21,1.5 V,,,,,
AUDIO_RESET_n,Bidir,PIN_M21,5,B5_N0,PIN_M21,1.5 V,,,,,
AUDIO_SCLK_MFP3,Output,PIN_P19,5,B5_N0,PIN_P19,1.5 V,,,,,
AUDIO_SCL_SS_n,Output,PIN_P20,5,B5_N0,PIN_P20,1.5 V,,,,,
AUDIO_SDA_MOSI,Bidir,PIN_P21,5,B5_N0,PIN_P21,1.5 V,,,,,
AUDIO_SPI_SELECT,Output,PIN_N22,5,B5_N0,PIN_N22,1.5 V,,,,,
AUDIO_WCLK,Bidir,PIN_R15,5,B5_N0,PIN_R15,1.5 V,,,,,
